!|.--> 35
#|#--> 62
$|$--> 3842
%|JJ--> 7
%|NN--> 2790
&|CC--> 611
&|SYM--> 1
'|''--> 68
'|POS--> 355
''|''--> 4101
'40s|CD--> 1
'60s|CD--> 1
'60s|NNS--> 1
'70s|CD--> 1
'70s|NNS--> 1
'80s|CD--> 1
'80s|NNS--> 2
'86|CD--> 1
'90s|NNS--> 1
'Em|NNP--> 1
'N|NNP--> 1
'S|POS--> 2
'S|VBZ--> 3
'd|MD--> 37
'd|VBD--> 6
'em|PRP--> 3
'll|MD--> 62
'm|VBP--> 67
'n'|CC--> 2
're|VBP--> 174
's|NNP--> 1
's|POS--> 4800
's|PRP--> 5
's|VBZ--> 659
'til|IN--> 1
've|VB--> 2
've|VBP--> 87
(|(--> 712
)|)--> 715
,|,--> 27952
-|:--> 41
--|:--> 1246
.|.--> 23730
...|:--> 115
.23|CD--> 1
.270|CD--> 1
.what|WDT--> 1
0|CD--> 1
0.0002|CD--> 1
0.0040|CD--> 1
0.0047|CD--> 1
0.0075|CD--> 1
0.01|CD--> 4
0.0100|CD--> 1
0.0115|CD--> 1
0.02|CD--> 2
0.025|CD--> 1
0.03|CD--> 1
0.05|CD--> 3
0.07|CD--> 1
0.1|CD--> 9
0.10|CD--> 1
0.11|CD--> 1
0.12|CD--> 3
0.13|CD--> 1
0.15|CD--> 1
0.17|CD--> 2
0.19|CD--> 3
0.2|CD--> 16
0.20|CD--> 1
0.24|CD--> 2
0.25|CD--> 8
0.26|CD--> 2
0.27|CD--> 1
0.3|CD--> 11
0.31|CD--> 3
0.35|CD--> 1
0.375|CD--> 1
0.4|CD--> 4
0.43|CD--> 2
0.44|CD--> 1
0.45|CD--> 2
0.47|CD--> 1
0.5|CD--> 5
0.53|CD--> 1
0.55|CD--> 1
0.58|CD--> 1
0.59|CD--> 2
0.6|CD--> 4
0.60|CD--> 4
0.63|CD--> 1
0.65|CD--> 1
0.66|CD--> 1
0.7|CD--> 6
0.71|CD--> 1
0.8|CD--> 1
0.82|CD--> 1
0.84|CD--> 1
0.85|CD--> 1
0.88|CD--> 2
0.9|CD--> 5
0.94|CD--> 2
0.95|CD--> 1
1|CD--> 374
1|LS--> 4
1,000|CD--> 52
1,000-ship|JJ--> 1
1,001|CD--> 1
1,003,884|CD--> 1
1,012|CD--> 1
1,013|CD--> 2
1,014|CD--> 1
1,015|CD--> 2
1,030|CD--> 1
1,040|CD--> 1
1,048,500,000|CD--> 1
1,059.04|CD--> 1
1,063,946|CD--> 1
1,068,000|CD--> 1
1,070,000|CD--> 1
1,074|CD--> 1
1,100|CD--> 3
1,108|CD--> 1
1,111|CD--> 2
1,120|CD--> 1
1,120,317|CD--> 1
1,141|CD--> 1
1,150|CD--> 1
1,177,000|CD--> 1
1,200|CD--> 2
1,214|CD--> 1
1,222|CD--> 1
1,224|CD--> 1
1,240|CD--> 1
1,250|CD--> 1
1,250,000|CD--> 1
1,290|CD--> 1
1,296,800|CD--> 1
1,300-member|JJ--> 1
1,310|CD--> 1
1,327|CD--> 1
1,342,264|CD--> 1
1,365,226|CD--> 2
1,368|CD--> 1
1,380,000|CD--> 1
1,384,119|CD--> 1
1,400|CD--> 3
1,400-lawyer|JJ--> 1
1,400-member|JJ--> 1
1,430|CD--> 1
1,455,000|CD--> 1
1,475,000|CD--> 1
1,500|CD--> 4
1,500,000|CD--> 1
1,520|CD--> 1
1,534,600|CD--> 1
1,620|CD--> 1
1,640|CD--> 1
1,642|CD--> 1
1,656,870|CD--> 1
1,657,736|CD--> 1
1,680|CD--> 1
1,685|CD--> 1
1,700|CD--> 1
1,716|CD--> 1
1,735|CD--> 1
1,745,000|CD--> 1
1,750,000|CD--> 1
1,754,000|CD--> 1
1,774,326|CD--> 1
1,784,400|CD--> 1
1,800|CD--> 3
1,810,700|CD--> 1
1,816,000|CD--> 2
1,826,596|CD--> 1
1,828,000|CD--> 1
1,848,000|CD--> 1
1,850|CD--> 4
1,853,735|CD--> 1
1,859|CD--> 3
1,874,000|CD--> 1
1,892|CD--> 1
1,900|CD--> 1
1,908|CD--> 1
1,940|CD--> 2
1,977|CD--> 1
1-Dec|NNP--> 1
1-for-10|JJ--> 2
1-million-plus|JJ--> 1
1.|CD--> 1
1.01|CD--> 3
1.011|CD--> 1
1.02|CD--> 6
1.03|CD--> 2
1.04|CD--> 4
1.05|CD--> 4
1.06|CD--> 4
1.07|CD--> 1
1.08|CD--> 1
1.09|CD--> 2
1.1|CD--> 29
1.10|CD--> 9
1.11|CD--> 3
1.12|CD--> 5
1.125|CD--> 7
1.1270|CD--> 1
1.1280|CD--> 1
1.13|CD--> 3
1.14|CD--> 3
1.142|CD--> 1
1.143|CD--> 1
1.15|CD--> 4
1.1510|CD--> 1
1.1580|CD--> 1
1.16|CD--> 3
1.168|CD--> 1
1.17|CD--> 1
1.175|CD--> 1
1.18|CD--> 5
1.19|CD--> 3
1.2|CD--> 33
1.20|CD--> 8
1.21|CD--> 1
1.22|CD--> 5
1.23|CD--> 3
1.24|CD--> 5
1.25|CD--> 11
1.255|CD--> 1
1.26|CD--> 4
1.27|CD--> 2
1.28|CD--> 1
1.29|CD--> 2
1.3|CD--> 28
1.30|CD--> 2
1.31|CD--> 3
1.32|CD--> 2
1.34|CD--> 1
1.342|CD--> 1
1.35|CD--> 4
1.36|CD--> 2
1.37|CD--> 3
1.375|CD--> 1
1.388|CD--> 1
1.39|CD--> 1
1.4|CD--> 23
1.40|CD--> 2
1.41|CD--> 2
1.42|CD--> 2
